"Gioco","Piattaforma","VotoMetacritic","UserScore","Genre","Players"
GOD OF WAR: CHAINS OF OLYMPUS,PS3,-1,78,Action Adventure,1 Player
GOD OF WAR: GHOST OF SPARTA,PS3,-1,78,Action Adventure,
GOLDEN AXE,PS3,-1,65,Action,2 
GRAVITY CRASH,PS3,73,73,Action,
GREG HASTINGS PAINTBALL 2,PS3,46,-1,Action,Up to 16 
GRID 2,PS3,82,66,Driving,
GRID AUTOSPORT,PS3,75,66,Driving,Up to 12 
GUACAMELEE!,PS3,84,77,Action,
HARDWARE: RIVALS,PS4,56,53,Simulation,Up to 10 
HEAVY RAIN,PS4,78,79,Adventure,
HOHOKUM,PS4,75,64,General,
HOLLOW KNIGHT,PS4,-1,82,Action Adventure,No Online Multiplayer
HOTEL TRANSYLVANIA 3 MONSTERS OVERBOARD,PS4,-1,33,Action,No Online Multiplayer
HOW TO SURVIVE - STORM WARNING EDITION,PS4,65,63,Action Adventure,2 
HAKUOKI: STORIES OF THE SHINSENGUMI,PS3,-1,68,Adventure,No Online Multiplayer
HAMILTON'S GREAT ADVENTURE,PS3,74,51,Adventure,
HAMSTERBALL,PS3,61,64,Miscellaneous,
HEAVENLY SWORD,PS3,79,82,Action,No Online Multiplayer
HEAVY FIRE AFGHANISTAN,PS3,39,34,Action,
HOUSE OF THE DEAD 4,PS3,73,77,Action,
HUNTED: THE DEMON'S FORGE,PS3,57,63,Action Adventure,2  Online
HUNTER'S TROPHY 2 - AMERICA,PS3,-1,-1,Sports,
HUNTER'S TROPHY 2 - AUSTRALIA,PS3,-1,31,Sports,
HUSTLE KINGS,PS3,81,81,Sports,64+  Online
I AM BREAD,PS4,51,48,Miscellaneous,
I ZOMBIE,PS4,-1,-1,Action,
IN SPACE WE BRAWL,PS4,54,44,Action,
INSIDE MY RADIO,PS4,-1,-1,Action,
IRONCAST,PS4,70,53,Puzzle,
IBB & OBB,PS3,78,79,Miscellaneous,2 
ICO,PS2,90,89,Action Adventure,1 Player
INFAMOUS,PS3,85,83,Action Adventure,No Online Multiplayer
INFAMOUS 2,PS3,83,86,Action Adventure,No Online Multiplayer
INFAMOUS: FESTIVAL OF BLOOD,PS3,78,80,Action Adventure,
INJUSTICE: GODS AMONG US ULTIMATE EDITION,PS3,78,79,Action,Up to 8 
INVIZIMALS THE LOST KINGDOM,PS3,50,49,Card Battle,
JOE DEVER'S LONE WOLF,PS4,79,72,Action,
JETPACK JOYRIDE DELUXE,PS3,-1,-1,Action,
JOE DANGER 2: THE MOVIE,PS3,78,58,Action,
JOURNEY,PS3,92,88,Action,
JUDGE DEE - THE CITY GOD CASE,PS3,-1,-1,Miscellaneous,
KICKBEAT SPECIAL EDITION,PS4,60,43,Action,
KILLZONE: SHADOW FALL,PS4,73,68,Shooter,Up to 24 
KINETICA,PS2,77,82,Driving,1-2 
KING ODDBALL,PS4,64,48,Miscellaneous,
KINGDOM: NEW LANDS,PS4,-1,49,Strategy,No Online Multiplayer
KNACK,PS4,54,64,Action,
KRINKLE KRUSHER,PS4,50,64,Action,
KROMAIA Ω,PS4,68,59,Action,
KILLZONE,PS3,59,64,Action,Up to 16 
KILLZONE 2,PS3,91,81,Action,Up to 32 
KILLZONE 3,PS3,84,80,Action,
KNYTT UNDERGROUND,PS3,73,61,Action,
KUNG FU RABBIT,PS3,-1,-1,Action,
LEGEND OF KAY ANNIVERSARY,PS4,62,59,Action Adventure,No Online Multiplayer
LEGO BATMAN 3: BEYOND GOTHAM,PS4,73,69,Action Adventure,No Online Multiplayer
LEGO WORLDS,PS4,66,65,Action Adventure,2 
LEO'S FORTUNE,PS4,66,67,Action,
LIMBO,PS4,-1,78,Action,
LITTLEBIGPLANET 3,PS4,79,71,Action,Up to 4 
LOCK'S QUEST,PS4,50,-1,Strategy,
LOCOROCO REMASTERED,PS4,79,70,Action,
LONE SURVIVOR: THE DIRECTOR'S CUT,PS4,-1,65,Action Adventure,
LORDS OF THE FALLEN,PS4,68,64,Action RPG,No Online Multiplayer
LOST SEA,PS4,59,62,Strategy,
LOVELY PLANET,PS4,-1,-1,Action,
LUMO,PS4,73,59,Action,
LEARNING WITH THE POOYOOS - EPISODE 1,PS3,-1,-1,Miscellaneous,1 Player
LEGASISTA,PS3,68,67,Role-Playing,1 Player
LEGO BATMAN 2: DC SUPER HEROES,PS3,81,74,Action Adventure,No Online Multiplayer
LEGO BATMAN: THE VIDEOGAME,PS3,75,79,Action Adventure,No Online Multiplayer
LEGO HARRY POTTER: YEARS 1-4,PS3,79,78,Action Adventure,No Online Multiplayer
LEGO HARRY POTTER: YEARS 5-7,PS3,76,80,Action Adventure,No Online Multiplayer
LEGO STAR WARS™ III: THE CLONE WARS™,PS3,76,76,Action Adventure,No Online Multiplayer
LEGO STAR WARS™: THE COMPLETE SAGA,PS3,80,71,Action,2  Online
LEGO® DISNEY PIRATES OF THE CARIBBEAN THE VIDEOGAME,PS3,73,74,Action Adventure,No Online Multiplayer
LEGO® INDIANA JONES™ 2: THE ADVENTURE CONTINUES,PS3,70,73,Action Adventure,
LEGO® INDIANA JONES™: THE ORIGINAL ADVENTURES,PS3,77,77,Action Adventure,No Online Multiplayer
LEMMINGS,PS3,59,67,Miscellaneous,1 Player
LINGER IN SHADOWS,PS3,59,46,Action,
LITTLEBIGPLANET 3,PS3,-1,73,Action,Up to 4 
LOCOROCO COCORECCHO,PS3,72,56,Puzzle,1 Player
LOST PLANET,PS3,67,69,Action,Up to 16 
LOST PLANET 2,PS3,68,69,Action,Up to 16 
LOST PLANET 3,PS3,61,57,Action,Up to 10 
MAFIA III,PS4,68,53,Action Adventure,No Online Multiplayer
MAGICKA 2,PS4,72,63,Fantasy,Up to 4 
MALICIOUS FALLEN,PS4,62,61,Action,
MANTIS BURN RACING,PS4,71,69,Racing,
MARVEL'S SPIDER-MAN,PS4,87,86,Action Adventure,No Online Multiplayer
MASTERCUBE,PS4,-1,26,Action,
MEGADIMENSION NEPTUNIA VII,PS4,71,72,Role-Playing,No Online Multiplayer
METAL GEAR SOLID GROUND ZEROES,PS4,75,64,Action Adventure,No Online Multiplayer
METAL GEAR SOLID V: THE PHANTOM PAIN,PS4,93,82,Modern,Up to 16 
METAL SLUG 3,PS4,-1,70,Action,2 
METRO EXODUS,PS4,80,69,Action,No Online Multiplayer
METRO 2033 REDUX,PS4,-1,71,Action,
METRO: LAST LIGHT REDUX,PS4,-1,70,Action,
MINUTES,PS4,76,72,Action,
MITSURUGI KAMUI HIKAE,PS4,58,42,Action,
MOMONGA PINBALL ADVENTURES,PS4,-1,-1,Action,
MONSTER ENERGY SUPERCROSS,PS4,67,47,Racing,Up to 12 
MORDHEIM - CITY OF THE DAMNED,PS4,72,61,Strategy,2 
MOTOGP 17,PS4,68,44,Racing,Up to 12 
MOUNT & BLADE: WARBAND,PS4,67,79,Role-Playing,Up to 64 
MOUSECRAFT,PS4,72,57,Miscellaneous,
MUDRUNNER,PS4,67,72,Simulation,Up to 4 
MX VS ATV SUPERCROSS ENCORE,PS4,42,39,Racing,Up to 12 
MXGP2 - THE OFFICIAL MOTOCROSS VIDEOGAME,PS4,65,65,Racing,Up to 12 
MXGP3 – THE OFFICIAL MOTOCROSS VIDEOGAME,PS4,67,-1,Racing,Up to 12 
MYSTERY CHRONICLE: ONE WAY HEROICS,PS4,-1,-1,Role-Playing,2 
MACHINARIUM,PS3,78,82,Adventure,No Online Multiplayer
MAFIA 2,PS3,75,79,Action Adventure,No Online Multiplayer
MAGIC ORBZ,PS3,66,76,Action,1-2 
MAGUS,PS3,32,42,Action,
MAHJONG TALES : ANCIENT WISDOM,PS3,47,71,Miscellaneous,2  Online
MARS: WAR LOGS,PS3,-1,73,Role-Playing,
MEGA MAN 10,PS3,78,81,Action,
MEGA MAN 9,PS3,77,85,Action,1 Player
METAL GEAR RISING: REVENGEANCE,PS3,80,80,Action Adventure,No Online Multiplayer
